accession	label	query_group	reviewed	protein_name
Q1EPR5	negative	oligomer_hydrolase	true	6-aminohexanoate-oligomer endohydrolase
P07061	negative	oligomer_hydrolase	true	6-aminohexanoate-dimer hydrolase
P07062	negative	oligomer_hydrolase	true	6-aminohexanoate-dimer hydrolase
D4A1J4	negative	3HB_dehydrogenase_EC1.1.1.30	true	Dehydrogenase/reductase SDR family member 6
P29147	negative	3HB_dehydrogenase_EC1.1.1.30	true	D-beta-hydroxybutyrate dehydrogenase, mitochondrial
Q02337	negative	3HB_dehydrogenase_EC1.1.1.30	true	D-beta-hydroxybutyrate dehydrogenase, mitochondrial
Q561X9	negative	3HB_dehydrogenase_EC1.1.1.30	true	Dehydrogenase/reductase SDR family member 6
Q8JZV9	negative	3HB_dehydrogenase_EC1.1.1.30	true	Dehydrogenase/reductase SDR family member 6
Q9BUT1	negative	3HB_dehydrogenase_EC1.1.1.30	true	Dehydrogenase/reductase SDR family member 6
C1C4R8	negative	3HB_dehydrogenase_EC1.1.1.30	true	Dehydrogenase/reductase SDR family member 6
Q02338	negative	3HB_dehydrogenase_EC1.1.1.30	true	D-beta-hydroxybutyrate dehydrogenase, mitochondrial
Q3KPT7	negative	3HB_dehydrogenase_EC1.1.1.30	true	Dehydrogenase/reductase SDR family member 6
Q3T046	negative	3HB_dehydrogenase_EC1.1.1.30	true	Dehydrogenase/reductase SDR family member 6
Q80XN0	negative	3HB_dehydrogenase_EC1.1.1.30	true	D-beta-hydroxybutyrate dehydrogenase, mitochondrial
P86198	negative	3HB_dehydrogenase_EC1.1.1.30	true	D-beta-hydroxybutyrate dehydrogenase, mitochondrial
Q5ZJZ5	negative	3HB_dehydrogenase_EC1.1.1.30	true	D-beta-hydroxybutyrate dehydrogenase, mitochondrial
