phylum	genomes
Pseudomonadota	26850
Actinomycetota	6810
Bacteroidota	3247
Chloroflexota	1200
Acidobacteriota	867
Planctomycetota	817
Myxococcota_A	701
Desulfobacterota	583
Gemmatimonadota	565
Bacillota	434
Cyanobacteriota	308
Bdellovibrionota	289
Verrucomicrobiota	240
Myxococcota	237
Vulcanimicrobiota	165
